西元前年,年份數字,紀年標題,本年條目數,國家,人物,事件詞,本年內容摘要
前414,414,周威烈王十二年（西元前四一四年）,5,秦、齊、楚、燕、韓、趙、魏、晉、周、越、鄭、中山,句踐、趙武靈王,伐、卒、立、稱王、滅、取、殺,秦簡西元年，晉烈公二年，魏文侯三十二年，韓武子十一年，趙獻子十年，齊宣公四十二年，楚簡王十八年，燕簡西元年。 於粵子朱句三十四年滅滕。（《越世家·索隱》引《紀年》） 案：《越世家·索隱》引《紀年》，謂“晉出公十年十一月於粵子句踐卒”，“次鹿郢立，六年卒”，“不壽立，十年見殺”，“次朱句立”，“朱句三十四年滅滕，三十五年滅鄭”。而《水經·沂水注》引《紀年》雲：“晉烈公四年，越子朱句滅鄭，以鄭子鴣歸。”今本《竹書紀年》系越滅滕、滅鄭在周威烈王十一年、十二年。朱右曾《汲塚紀年存真》與王國維《古本竹書紀年輯校》列滅滕、滅鄭于晉幽公十四年、十五年，雷學淇《考訂竹書紀年》則列于晉烈公二年、三年，並謂《水經注》引《紀年》雲烈公四年越滅鄭，“蓋古文三、四，皆積畫成字，故誤三為三也。”今案：當以雷說為是。《紀年》謂句踐卒于晉出公十年十一月，《紀年》用夏正，于周正已是次年正月，此後鹿郢在位六年卒，不壽十年見殺，朱句三十四年滅滕，三十五年滅鄭，正當晉烈公二年、三年，即周威烈王之十二年、十三年。陳夢家《六國紀年》以《路史》所引推證，雲：“《路史·後紀七》注雲：‘威烈八年越滅鄭’，《國名紀甲》雲：‘《紀年》越王……
前413,413,周威烈王十三年（西元前四一三年）,15,秦、齊、楚、燕、韓、趙、魏、晉、越、吳、鄭、中山,,伐、攻、圍、立、滅、拔,秦簡公二年，晉烈公三年，魏文侯三十三年，韓武子十二年，趙獻子十一年，齊宣公四十三年，楚簡王十九年，燕簡公二年。 晉烈公四年，越子朱句滅郯，以郯子鴣歸。（《水經·沂水注》引《紀年》） [於粵子朱句]三十五年滅郯。（《越世家·索隱》引《紀年》） 案：《通鑒外紀》亦雲：“晉烈公四年越滅鄭”，雷學淇《考訂竹書紀年》系於烈公三年雲：“蓋古文三、四皆積畫成字，故三誤為三也”。其後鄭亦曾複國。《楚世家》頃襄王十八年弋射者雲：“騶、費、鄭、邳者羅鸞也。” 晉烈公三年楚人伐我南鄙，至於上洛。（《水經·丹水注》引《紀年》，《太平寰宇記》一四一商州上洛縣與《輿地廣記》一四商州上洛縣引《紀年》同。《路史·國名紀己》引《紀年》亦同） 田莊子相齊宣公。宣公四十三年伐晉，毀黃城，圍陽狐。（《田世家》，《六國表》亦雲：“齊宣公四十三年伐晉，毀黃城，圍陽狐。”） 案：魏有兩黃城，其一在今河南內黃西，另一在今山東冠縣南。是年齊伐晉所毀之黃城乃後者。 秦簡公二年與晉戰，敗鄭下。（《六國表》） 【附編】 魏文侯見段幹木，立倦而不敢息，反見翟黃（《說苑·尊賢》第二十四章“反”作“及”），踞於堂而與之言，翟黃不說。文侯曰：“段幹……
前412,412,周威烈王十四年（西元前四一二年）,4,秦、齊、楚、燕、韓、趙、魏、晉、魯、宋、鄭,楚懷王,伐、攻、圍、救、會、殺,秦簡公三年，晉烈公四年，魏文侯三十四年，韓武子十三年，趙獻子十二年，齊宣公四十四年，楚簡王二十年，燕簡公三年。 魏文侯十三年（當作三十四年）公子擊圍繁龐，出其民。（《六國表》，《魏世家》作“使子擊圍繁龐，出其民”） 齊宣公四十四年伐魯、莒及安陽。（《六國表》，《田世家》作“伐魯、葛及安陵”。） 案：《田世家·索隱》引《括地志》以為魯城在許昌縣南四十裡，長葛在許州長葛縣北十三裡，即鄭之葛邑；鄢陵在許州西北十五裡，六國時為安陵。此說不確。齊不能攻伐至許昌、長葛、鄢陵等地，當以《六國表》記載為是。此後安陽成為齊重要之商業城市，鑄有安陽刀幣，與臨淄之齊刀、節墨刀，同為齊國主要流通之貨幣。安陽當在齊之東邊。《項羽本紀》載：秦將章邯大破項梁于定陶，項梁死，章邯進圍趙于钜鹿，項羽、呂臣引兵東退至彭城一帶，楚懷王至彭城，命宋義為上將軍而救趙。宋義率大軍行至安陽，留四十六日不進，並遣其子宋襄相齊，送之至無鹽，飲酒高會而歸。項羽言欲疾引兵渡河救趙钜鹿，宋義不許，因殺宋義而使人報命懷王，懷王因使項羽為上將軍。項羽乃持三日糧，引兵渡河，破釜沉舟，燒廬舍，以與秦兵決戰。九戰，絕秦軍甬道而大破之。此安陽當即齊之安……
前411,411,周威烈王十五年（西元前四一一年）,17,秦、齊、楚、燕、韓、趙、魏、晉、周、魯、越、代,,伐、攻、卒、立、滅、取、殺,秦簡公四年，晉烈公五年，魏文侯三十五年，韓武子十四年，趙獻子十三年，齊宣公四十五年，楚簡王二十一年，燕簡公四年。 趙獻侯十三年城平邑。（《六國表》，《趙世家》同） 晉烈公四年趙城平邑。（《水經·河水注》、《初學記》八、《太平寰宇記》五十四魏州南樂縣下引《紀年》） 案：《水經·漂水注》記漯水又徑平邑縣故城南，亦雲：“趙獻侯十三年城平邑。”趙獻侯十三年已是晉烈公五年，《史記》與《紀年》之記載有一年之差，所以有一年之差，或因獻侯殺桓公之子而複立，於立年改元。因而趙獻侯十三年按常例實為十二年。陳夢家《六國紀年》據今本《竹書紀年》記在周威烈王八年，因而推定為晉烈公二年，非是。 [於粵子朱句]三十七年朱句卒。（《越世家·索隱》引《紀年》，《路史·後紀》十三引《紀年》同） 案：雷學淇《考訂竹書紀年》系此于晉烈公五年，據《越世家·索隱》所引《紀年》推算，是也。 [越]王翁卒，子王翳立。（《越世家》） 案：王翁即朱句。《路史·後紀》十三引《紀年》，雜采《越世家》名諡，雲：“朱句立，是為王翁，三十七年卒，王翳立。”上海博物館所藏越王大子矛銘有“王弋郾”，當即王翳。[齊宣公四十五年]取魯之一城，莊子卒。（《……
前409,409,周威烈王十七年（西元前四〇九年）,13,秦、齊、楚、燕、韓、趙、魏、晉、周、鄭,,伐、卒、立、取,秦簡公六年，晉烈公七年，魏文侯三十七年，韓武子十六年，趙獻子十五年，齊宣公四十七年，楚簡王二十三年，燕簡公六年。 [趙獻侯]十五年獻侯卒，子列侯籍立。（《趙世家》） [韓武子]十六年武子卒，子景侯立。（《韓世家》，“景侯”下當脫“虔”字，下文稱“景侯虔元年”，“虔”字疑錯脫於此） 《紀年》及《世本》皆作景子，名處。（《韓世家·索隱》，“處”疑“敲”字之誤。) 案：各本《史記》皆作“名處”，惟明淩稚隆本、清殿本改作“虔”。《韓世家·索隱》記此以表《紀年》及《世本》作“處”之異，若同為“虔”字，《索隱》不應記此。陳夢家《六國紀年》雲：《紀年》晉烈公十一年韓景子與趙、魏伐齊入長城，亦見周威烈王二十二年之屈羌鐘，鐘銘曰：“厥辟韓宗敭”，即景子虔也。其字從鬲從攴，即獻字之省，陳侯午敦“獻（獻）”從鼎從犬，亦省虎頭。金文假獻為甗，甗者上為甑、下為鬲，而鬲實為主體。古音獻、虔音近，故知銅器之韓宗即紀年之景子矣。”馬承源《商周青銅器銘文選》又雲：“敭”為徽之古文，《說文》部：“徽，通也，從彳從攴從育。徽古文徽。何尊之敭命即徽命，即達命之意。徽、虔古韻月、元對轉，音近字假借。”總之，景子名敭，與虔音近通……
前408,408,周威烈王十八年（西元前四〇八年）,26,秦、齊、楚、燕、韓、趙、魏、晉、魯、越、吳、宋、鄭、中山,樂毅、趙襄子,伐、攻、圍、卒、立、滅、取、拔、會、殺,秦簡公七年，晉烈公八年，魏文侯三十八年，韓景侯元年，趙烈侯元年，齊宣公四十八年，楚簡王二十四年，燕簡公七年。 秦簡公七年塹洛，城重泉。（《六國表》） [魏文侯]十七年(當作三十八年)西攻秦，至鄭而還，築雒陰、合陽。（《魏世家》，《六國表》作“伐秦至鄭，還築洛陽、合陽”。《集解》徐廣曰：“一雲置合陽”） 案：魏于上年與此年連續伐秦，先後攻取臨晉（今陝西大荔縣東南）、元裡（今陝西澄城縣南）、洛陽（今大荔縣西南）、郃陽（今陝西合陽縣東南）等地，並築城，並曾長驅直入至鄭（今陝西華縣）。於是秦之河西地區全為魏所佔有，秦乃退守洛水（在今陝西北部），沿洛水修建防禦工事，即謂“塹洛”，並在重泉築城防守。重泉在今陝西蒲城縣東南，東靠洛水。 吳起於是聞魏文侯賢，欲事之，文侯問李克曰：“吳起何如人哉？”李克曰：“起貪而好色，然用兵司馬穰苴不能過也。”於是魏文侯以為將，擊秦，拔五城。（《吳起列傳》） 案：陳逢衡《竹書紀年集證》謂“吳起為將擊秦拔五城，即此時”。錢穆《吳起為魏將拔秦五城考》證之曰：“考《韓非子·外儲說左上》，吳起攻中山，軍人有病疽者，起自吮其膾。”《說苑·複恩》雲：“吳起攻中山，為卒吮膿。其母泣……
前407,407,周威烈王十九年（西元前四〇七年）,76,秦、齊、楚、燕、韓、趙、魏、晉、周、魯、越、吳、衛、宋、鄭、中山、蔡、代,張儀、樂毅、商鞅、趙武靈王、魏惠王,伐、攻、圍、救、卒、立、即位、變法、滅、取、拔、盟、聘、會、遷、殺,秦簡公八年，晉烈公九年，魏文侯三十九年，韓景侯二年，趙烈侯二年，齊宣公四十九年，楚聲王元年，燕簡公八年。 [齊宣公四十九年]宣公與鄭人會西城。伐衛，取毌丘（《田世家》，《六國表》同。惟“毋丘”作“毋”） [鄭縉公]十六年鄭伐韓，敗韓兵於負黍。（《鄭世家》，《韓世家》：景侯二年“鄭敗我負黍”。《六國表》同） 樂羊為魏將而攻中山，其子在中山，中山之君烹其子而遺之羹。樂羊坐於幕下而啜之，盡一杯。文侯謂堵師贊曰：“樂羊以我故而食其子之肉。”答曰：“其子而食之，且誰不食。”樂羊罷中山，文侯賞其功而疑其心。（《韓非子·說林上》，《魏策一》第三章同，“堵師贊”作“睹師贊”。《淮南子·人間訓》《說苑·貴德》第二十八章、《中山策》第九章略同） 案：《淮南子·人間訓》雲：“魏將樂羊攻中山，其子執在城中，城中懸其子以示樂羊。樂羊曰：君臣之義不得以子為私。攻之愈急，中山因烹其子而遺之鼎簋與其首。樂羊循而泣之曰：是吾子。已為使者跪而啜三杯。使者歸報中山曰：是伏約死節者也，不可忍也。遂降之，為魏文侯大開地有功。”《說苑·貴德》第二十八章亦雲：“中山見其誠也，不忍與其戰，果下之。遂為文侯開地。文侯賞其功而疑其心。”……
前403,403,周威烈王二十三年（西元前四〇三年）,20,秦、齊、楚、燕、韓、趙、魏、晉、周、越、鄭、中山、代,,伐、攻、立、取、拔、盟、會,秦簡公十二年，晉烈公十三年，魏文侯四十三年，韓景侯六年，趙烈侯六年，齊康公二年，楚聲王五年，燕簡公十二年。[周]威烈王二十三年九鼎震，命韓、趙、魏為諸侯。（《周本紀》，《六國表》同） 〔魏文侯〕二十二年魏、趙、韓列為諸侯。（《魏世家》） [韓景侯]六年與趙、魏俱得列為諸侯。（《韓世家》） [趙烈侯]六年魏、韓、趙皆相立為諸侯，追尊獻子為獻侯。（《趙世家》） [燕]簡公立十三年而三晉命邑為諸侯。（《燕世家·索隱》引《紀年》） 案：《齊世家》稱“康公二年韓、魏、趙始列為諸侯”。《六國表》雲：“楚聲王五年魏文侯、韓武子、趙桓子始列為諸侯”。《鄭世家》言：“繕公二十年韓、趙、魏列為諸侯。”皆與《周本紀》及三晉世家相合。惟《晉世家》稱：“烈公十九年周威烈王賜趙、韓、魏皆命為諸侯”，則誤後六年。據《燕世家·索隱》所引《紀年》推算，燕簡公十二年當周威烈王二十三年，《紀年》謂“燕簡公立十三年而三晉命邑為諸侯”，亦與《史記》相合。 又案：此年王命三晉列為諸侯，實為上年三晉伐齊入長城，迫使齊侯會同三晉之君前往朝見周威烈王而所得之結果。《水經·汶水注》引《紀年》雲：“晉烈公十二年王命韓景子、趙烈子、翟員伐齊……
前402,402,周威烈王二十四年（西元前四〇二年）,11,秦、齊、楚、燕、韓、趙、魏、周、宋,,攻、圍、立、殺,秦簡公十三年，魏文侯四十四年，韓景侯七年，趙烈侯七年，齊康公三年，楚聲王六年，燕簡公十三年。 [周威烈王]二十四年崩，子安王驕立。是歲盜殺楚聲王。（《周本紀》） 周元安王驄。（《漢書·古今人表》注雲：“威烈王子”） 威烈王崩，子猶立，是為元安王。（《太平御覽》八十五引《帝王世紀》） 案：安王有元、安兩諡。梁玉繩《古今人表考》雲：“驕疑驍之誤。”餘謂“躭”亦“驍”之誤。《周本紀·集解》引宋衷曰：“威烈王葬洛陽城中東北隅也。” [楚]聲王六年盜殺聲王，子悼王熊疑立。（《楚世家》） 楚悼王類。（《六國表》） 案：《楚世家》謂悼王名疑，而《六國表》謂名類，“疑”、“類”二字形近，“疑”或“類”之誤。《資治通鑒》作“盜殺楚聲王，國人立其子悼王”。 【附編】 聲王圍宋十月，楚三圍宋矣而不能亡。（《呂氏春秋·慎勢》） 案：楚聲王圍攻宋都，不見其他記載，不知在何年，今附編於此。
前401,401,周安王元年（西元前四0一年）,4,秦、齊、楚、燕、韓、趙、魏、越,,伐、攻,秦簡公十四年，魏文侯四十五年，韓景侯八年，趙烈侯八年，齊康公四年，楚悼王元年，燕簡公十四年。 秦簡公十四年伐魏至陽狐。（《六國表》） [魏文侯]二十四年(當作四十五年)秦伐我至陽狐。(《魏世家》，《六國表》同) 案：《資治通鑒》“陽狐”作“陽孤”。《魏世家·正義》引《括地志》曰：“陽狐郭在魏州元城縣東北三十裡。”《資治通鑒》胡三省注：“此時西河之外皆為魏地，若秦兵至元城，則是越魏都安邑而東矣。《水經注》：河東垣縣有陽壺城，《九域志》：絳州有陽壺城。識之以廣異聞，以俟知者。”陽狐地望不詳，此時秦亦不能攻至河東。
前400,400,周安王二年（西元前四00年）,22,秦、齊、楚、燕、韓、趙、魏、晉、周、鄭、中山、蔡、代,魏惠王,伐、攻、圍、卒、立、即位、稱王、滅、取、遷、奔,秦簡公十五年，魏文侯四十六年，韓景侯九年，趙烈侯九年，齊康公五年，楚悼王二年，燕簡公十五年。 [魏文侯]二十五年子擊生子萇。（《魏世家》，《六國表》作“太子萇生”） 案：閻若璩《孟子生卒年月考》雲：“《六國表》《魏世家》並雲子蔤生於文侯二十五年辛巳，三十八年文侯卒，武侯立，凡十六年而後惠王立。是年已三十。若如《紀年》，文侯五十年卒，武侯二十六年卒，以生辛巳計之，惠王元年已五十三，立三十六年已八十八，更以襄王十六年為改元後之年，不一百四歲乎？《紀年》不可信如此。”其說殊非。徐文靖《紀年統箋》據今本《紀年》駁之，謂惠王共九十四歲，亦無當。而錢穆《先秦諸子系年》，論之曰：“《紀年》與《史記》抵牾，閻氏以《史記》說繩《紀年》，宜其不可通也。余考魏滅中山，在文侯四十一年，其時子擊尚年少。故文侯見中山使者趙倉唐而曰中山君長短若何也？疑《史記》書二十五年子擊生子蒆者，是年實子擊生。史公既博采雜說，誤謂伐中山在十七年，而子擊之生轉在其後，顯屬舛乖，故乃謂子擊又生子蒆也。其實擊生於文侯二十五年，至四十一年滅中山，擊年十七，始守中山，後三年倉唐為使，則擊年二十左右，其少子當十五六以下，正舐犢愛厚時矣。…………
前398,398,周安王四年（西元前三九八年）,11,秦、齊、楚、燕、韓、趙、魏、周、魯、鄭,,伐、圍、卒、殺,秦惠公二年，魏文侯四十八年，韓烈侯二年，趙烈侯十一年，齊康公七年，楚悼王四年，燕簡公十七年。 楚悼王四年敗鄭師，圍鄭。鄭人殺子陽。（《六國表》） 案：《楚世家》雲是年“楚伐周，鄭殺子陽”。“周”乃“鄭”之誤。 [鄭縉公]二十五年，鄭殺其相駟子陽。（《六國表》，《鄭世家》作“鄭”君殺其相子陽） 鄭子陽之難，猘狗潰之；齊高國之難，失牛潰之；眾因之以殺子陽、高國。（《呂氏春秋·首時》） 子陽極也好嚴，有過而折弓者恐必死，遂應猘狗而弑子陽。（《呂氏春秋·適威》） 鄭子陽剛毅而好罰。其於罰也，執而無舍。舍人有折弓者，畏罪而恐誅，則因猘狗之驚以殺子陽。此剛猛之所致也。（《淮南子·氾論訓》） 子陽以猛劫。（《淮南子·繆稱訓》，高誘注“尚刑而劫死”） 若夫周滑之、鄭王孫申……皆思小利而忘法義，進則掩蔽賢良以陰暗其主，退則撓亂百官而為禍難。皆輔其君，共其欲，苟得一說於主，雖破國殺眾，不難為也。……有臣如此者，皆身死國亡，為天下笑。故周威公身殺，國分為二；鄭子陽身殺，國分為三。……故曰諂諛之臣，唯聖王知之，而亂主近之，故至身死國亡。（《韓非子·說疑》） 子列子窮，容貌有饑色，客有言之于鄭子陽者曰：“列禦寇……
前397,397,周安王五年（西元前三九七年）,17,秦、齊、楚、燕、韓、趙、魏、周、吳、衛、鄭、代,,救、卒、立、即位、滅、取、拔、會、殺,秦惠公三年，魏文侯四十九年，韓烈侯三年，趙烈侯十二年，齊康公八年，楚悼王五年，燕簡公十八年。 [韓]烈侯三年聶政殺韓相俠累。（《韓世家》） 韓烈侯三年三月盜殺韓相俠累。（《六國表》） 韓傀相韓，嚴遂重於君，二人相害也。嚴遂政議直指，舉韓傀之過，韓傀以之叱之於朝（《史記·刺客列傳·索隱》，《太平御覽》四七三所引無“以之”二字）。嚴遂遂拔劍趨之，以救解，於是嚴遂懼誅，亡去遊，求人可以報韓傀者。至齊，齊人或言軹深井裡聶政勇敢士也，避仇隱于屠者之間（《太平御覽》所引“者”作“肆”）。嚴遂陰交于聶政，以意厚之。聶政問曰（鮑本“問”下有“之”字)：“子欲安用我乎？”嚴遂曰：“吾得為役之日淺，事今薄，奚敢有請？”於是嚴遂乃具酒，觴聶政母前（鮑本“觴”上有“自”字，《史記》“自觴”作“自暢”，《集解》徐廣曰：“一作賜”，《索隱》雲：“《戰國策》作觴，近為得也”）。仲子奉黃金百鎰，前為聶政母壽（《索隱》引高誘曰：“嚴遂字仲子。”今本無）。聶政驚，愈怪其厚，固謝嚴仲子（鮑本“固”作“因”，《史記》亦作“固”），仲子固進，而聶政謝曰：“臣有老母家貧，客游以為狗屠，可旦夕得甘脆以養親，親供養備，義不敢當仲子之……
前396,396,周安王六年（西元前三九六年）,20,秦、齊、楚、燕、韓、趙、魏、晉、周、吳、宋、鄭,魏惠王,伐、卒、立、即位、徙都、滅、取、遷、殺、奔,秦惠公四年，魏文侯五十年，韓烈侯四年，趙烈侯十三年，齊康公九年，楚悼王六年，燕簡公十九年。 〔魏文侯〕五十年卒。（《魏世家·索隱》引《紀年》） [魏]文侯卒，子擊立，是為武侯。（《魏世家》） 案：《魏世家·索隱》引《紀年》雲：“魏文侯五十年卒，魏武侯二十六年卒。”雷學淇《竹書紀年義證》、王國維《古本竹書紀年輯校》、錢穆《先秦諸子系年》俱據《史記》武侯卒年，就《紀年》以上推文侯武侯之年。因定文侯元年在周定王二十三年，武侯元年在周安王六年，以為《史記》既誤以文侯稱侯之元為始立之元，誤後二十二年；又下割武侯十年為文侯之年，故《史記》以文侯三十八年、武侯十六年。其說似矣，然猶未審。吾人苟據雷氏、錢氏之推移，以《史記》與《紀年》比勘其史事，猶不能密合無間。雷氏、錢氏於此，雖有辯說，亦未能盡當。《魏世家·索隱》引《紀年》：“魏武侯元年當趙烈侯之十四年。”趙烈侯元在周威烈王十八年，其十四年當周安王七年，而錢穆以《史記》武侯之年移前十年，當周安王六年，則猶差一年也。《魏世家》雲：“武侯二年城安邑王垣。《索隱》引《紀年》雲：“武侯十一年，城洛陽及安邑王垣。”如錢說，《史記》武侯之年誤後十年，則《魏世家》……
前395,395,周安王七年（西元前三九五年）,5,秦、齊、楚、燕、韓、趙、魏,,伐、立、滅、賂,秦惠公五年，魏武侯元年，韓烈侯五年，趙烈侯十四年，齊康公十年，楚悼王七年，燕簡公二十年。 秦惠公五年伐諸繇。（《六國表》） 案：諸繇當是緜諸之誤。《六國表》載秦厲共公六年，“義渠來賂，繇諸乞援”。“繇諸”乃“緜諸”之誤。《六國表》又載厲共公二十年“公將師與緜諸戰”。此年又伐緜諸。緜諸乃西戎之一支，在今甘肅天水縣，漢置緜諸道，屬天水郡，此後即不見有緜諸之記載。當為秦滅亡於此時。 [魏]武侯元年封公子緩。（《魏世家·索隱》引《紀年》） 案：公子緩即公仲緩，武侯之子，惠王之弟，即武侯死後與惠王爭立者。應劭謂魏武侯公子元食邑於元城。“元”“緩”音近，疑即一人。
前394,394,周安王八年（西元前三九四年）,6,秦、齊、楚、燕、韓、趙、魏、晉、魯、越、鄭,,伐、救、立、滅、取,秦惠公六年，魏武侯二年，韓烈侯六年，趙烈侯十五年，齊康公十一年，楚悼王八年，燕簡公二十一年。 齊康公十一年伐魯取最。（《六國表》，《田世家·集解》引徐廣說同） 韓烈侯六年救魯，鄭負黍反。（《六國表》） 鄭君乙立二年，鄭負黍反，複歸韓。（《鄭世家》） 晉烈公二十二年國大風，晝昏，自旦至中。（《太平御覽》八百七十九引《史記》）案：《韓世家·集解》徐廣曰：“六年救魯也。”蓋齊伐魯而韓救之。 魯穆公使眾公子或宦于晉，或宦于荊。犁鉬（一作黎且）曰：“假人於越而救溺子，越人雖善遊，子必不生矣。失火而取水於海，海水雖多，火必不滅矣，遠水不救近火也。今晉與荊雖強，而齊近，魯患其不救乎？”(《韓非子·說林上》)
前393,393,周安王九年（西元前三九三年）,5,秦、齊、楚、燕、韓、趙、魏、晉、鄭,,伐、取、奔,秦惠公七年，魏武侯三年，韓烈侯七年，趙烈侯十六年，齊康公十二年，楚悼王九年，燕簡公二十二年。 [魏文侯]三十二年(當作魏武侯三年)伐鄭，城酸棗。敗秦於注。（《魏世家》，“注”當為“汪”之誤） 案：《集解》引司馬彪曰：“河南梁縣有注城也。”《正義》引《括地志》雲：“注城在汝州梁縣西十五裡。”注城非秦地，“注”當是“汪”字之誤。《左傳》文公二年晉伐秦，“取汪及彭衙而還”。《晉世家》雲：“秦果使孟明伐晉，報殽之敗，取晉汪以歸。”《索隱》雲：“又其年冬，晉先且居等伐秦，取汪、彭衙而還，則汪是秦邑，止可晉伐秦取之，豈得秦伐晉而取汪也。”又雲：“彭衙在郃陽北，汪不知所在。”《讀史方輿紀要》謂同州白水縣有汪城，一曰汪在澄城縣境。 楚悼王九年伐韓取負黍。（《六國表》，《楚世家》同） [晉烈公二十三年]太子喜出奔。(《太平御覽》八百七十九引《史記》)
前392,392,周安王十年（西元前三九二年）,3,秦、齊、楚、燕、韓、趙、魏,,卒、立、遷,秦惠公八年，魏武侯四年，韓烈侯八年，趙烈侯十七年，齊康公十三年，楚悼王十年，燕簡公二十三年。昔者齊康公興樂萬，萬人不可以衣短褐，不可食糠糟，曰：“飲食不美，面目顏色，不足視也，衣服不美，身體從容，醜羸不足觀也，是以食必粱肉，衣必文繡。”(《墨子·非樂上》) [齊康公]貸立十四年，淫於酒、婦人，不聽政。太公乃遷康公於海上，食一城，以奉其先祀。（《田世家》） 案：萬為舞名，“萬人”謂萬舞之人。孫詒讓《墨子間詁》雲：“康公衰弱，屬於田氏，卒為所遷廢，恐未必能興樂如此之盛。”
前391,391,周安王十一年（西元前三九一年）,5,秦、齊、楚、燕、韓、趙、魏、晉、周、鄭,商鞅、魏惠王,伐、攻、救、變法、滅、取、會、賂、遷,秦惠公九年，魏武侯五年，韓烈侯九年，趙烈侯十八年，齊康公十四年，楚悼王十一年，燕簡公二十四年。 秦惠公九年伐韓宜陽，取六邑。（《六國表》，《韓世家》同） 案：《資治通鑒》胡三省注：“此邑即《周禮》四井為邑之邑。”六邑乃宜陽附近之六個較大村落。商鞅在秦變法時，曾合鄉、邑、聚為縣。聚為小村落，邑乃較大村落。 [楚悼王]十一年三晉伐楚，敗我大樑、榆關。楚厚賂秦，與之平。（《楚世家》） 案：《史記會注考證》引《正義》佚文雲：“《年表》雲：悼王三年歸榆關於鄭。按榆關當鄭之南，大樑之西也。榆關在大樑之境。此時屬楚，故雲敗我大樑榆關也。”（見南化、楓、梅、贄異本）此說甚是。呂祖謙《大事記》雲：“大樑魏地，不知楚追三晉之師至於是歟？或者楚伐魏而韓、趙救之，《世家》誤以為三晉伐楚歟？”此說不確。榆關在大樑之西南，介於今新鄭與開封之間，原為鄭地，為楚所攻佔。楚悼王三年楚曾一度以榆關歸還于鄭，但不久仍為楚佔有。榆關為出入中原之重要門戶，因而成為三晉與楚爭奪之地。此年三晉合兵敗楚于大樑、榆關，從此大樑為魏所佔有，但榆關仍為楚所有。魏惠王欲遷都大樑，榆關勢在必得，《魏策四》第二章載有人謂魏王曰：“鄭恃魏以輕韓，……
前390,390,周安王十二年（西元前三九0年）,11,秦、齊、楚、燕、韓、趙、魏、晉、周、魯、吳、鄭,魏惠王,伐、攻、取、奔,秦惠公十年，魏武侯六年，韓烈侯十年，趙烈侯十九年，齊康公十五年，楚悼王十二年，燕簡公二十五年。 秦惠公十年與晉戰武城。縣陝。（《六國表》） 案：《魏世家·正義》引《括地志》雲：“故武城一名武平城，在華州鄭縣東十三裡。”在今陝西華縣東。陝在今河南三門峽市西，正當函谷關之東北，秦此時在陝設縣，圖謀向中原擴展。 [魏文侯]三十五年(當作魏武侯六年)齊伐取我襄陵。(《魏世家》，《六國表》同) 齊康公十五年魯敗我平陸。（《六國表》，《田世家》作“魯敗齊平陸”） 吳起治西河之外，王錯譖之魏武侯，武侯使人召之。吳起至於岸門，止車而休，望西河（《呂氏春秋·長見》無“休”字），泣數行而下。其僕謂之曰：“竊觀公之志（《長見》“志”作“意”），視舍天下若舍屣（《長見》作“視釋天下若釋跼”），今去西河而泣何也？”吳起雪泣而應之曰（《長見》“雪”作“抿”)：“子弗識也。君誠知我而使我畢能，秦必可亡，而西河可以王（《長見》無“秦必可亡而”五字，疑有脫誤）。今君聽讒人之議而不知我，西河之為秦也不久矣（《長見》“秦”下有“取”字），魏從此削矣。”吳起果去魏入荊，而西河畢入秦（《長見》“而”作“有間”），魏日以削，秦日……
前389,389,周安王十三年（西元前三八九年）,23,秦、齊、楚、燕、韓、趙、魏、晉、周、魯、越、吳、衛、蔡,,攻、卒、立、滅、取、會、遷、殺,秦惠公十一年，魏武侯七年，韓烈侯十一年，趙烈侯二十年，齊康公十六年，楚悼王十三年，燕簡公二十六年。 [魏文侯]三十六年(當作魏武侯七年)秦侵我陰晉。(《魏世家》，《六國表》作“秦侵陰晉”) 案：黃式三雲：“《年表》雲：秦侵晉，《通鑒》同。”蓋《六國表》有脫“陰”字而誤作“秦侵晉”之版本，《通鑒》因而同誤。陰晉後來為秦取得後改名華陰，在今陝西華陰縣東南，是時吳起當已去魏入楚矣。 秦惠公十一年太子生。（《六國表》） 齊康公十六年與晉、衛會濁澤。（《六國表》） [齊康公十六年]太公與魏文侯(當作魏武侯)會濁澤，求為諸侯。魏文侯乃使使言周天子及諸侯，請立齊相田和為諸侯，周天子許之。（《田世家》） 周安王十三年齊田和會魏文侯(當作魏武侯)、楚人、衛人於濁澤，求為諸侯，魏文侯為之請于王及諸侯，王許之。（《資治通鑒》） 案：濁澤之會，《資治通鑒》謂有楚人參與，不見《史記》，當別有所據。 [晉烈公]二十七年烈公卒，子孝公質立。（《晉世家》） 案：《索隱》雲：“《世本》雲孝公傾，《紀年》以孝公為桓公，故《韓子》有晉桓侯。”考《晉世家·索隱》雲：“《紀年》雲魏武侯以桓公十九年卒”，又雲：“《紀年》雲桓公二……
前388,388,周安王十四年（西元前三八八年）,2,秦、齊、楚、燕、韓、趙、魏,,,秦惠公十二年，魏武侯八年，韓烈侯十二年，趙烈侯二十一年，齊康公十七年，楚悼王十四年，燕簡公二十七年。 [秦]惠公十二年子出子生。（《秦本紀》，《六國表》作“太子生”，系於十一年，早一年）
